scenario,hour,generator,available_mw,dispatch_mw,curtailment_mw
low,12,G_IEEE3,270.0,0.0,0.0
low,12,RES_Wind_N1,31.2375,31.2375,0.0
low,12,RES_PV_N6,163.05975,163.05975,0.0
low,12,RES_PV_N8,302.82525000000004,302.82525000000004,0.0
low,13,G_IEEE1,250.0,3.9950146341465143,0.0
low,13,G_IEEE2,300.0,45.03623536585371,0.0
low,13,G_IEEE3,270.0,0.0,0.0
low,13,RES_Wind_N1,33.46875,33.46875,0.0
low,13,RES_PV_N6,182.24325,147.3082499999997,34.93500000000029
low,13,RES_PV_N8,338.45175,338.45175,0.0
low,14,G_IEEE1,250.0,0.0,0.0
low,14,G_IEEE2,300.0,38.94375000000025,0.0
low,14,G_IEEE3,270.0,0.0,0.0
low,14,RES_Wind_N1,37.93125,37.93125,0.0
low,14,RES_PV_N6,187.9983,150.53718057607043,37.461119423929574
low,14,RES_PV_N8,349.1397,334.0828194239294,15.056880576070625
low,15,G_IEEE1,250.0,8.105931707317268,0.0
low,15,G_IEEE2,300.0,24.14406829268298,0.0
low,15,G_IEEE3,270.0,0.0,0.0
low,15,RES_Wind_N1,44.625,44.625,0.0
low,15,RES_PV_N6,172.65150000000003,163.98149999999976,8.670000000000272
low,15,RES_PV_N8,320.6385,320.6385,0.0
low,16,G_IEEE1,250.0,0.0,0.0
low,16,G_IEEE2,300.0,129.07424999999995,0.0
low,16,G_IEEE3,270.0,0.0,0.0
low,16,RES_Wind_N1,51.31875,51.31875,0.0
low,16,RES_PV_N6,138.12120000000002,138.12120000000002,0.0
low,16,RES_PV_N8,256.5108,256.5108,0.0
low,17,G_IEEE1,250.0,0.0,0.0
low,17,G_IEEE2,300.0,270.0225,0.0
low,17,G_IEEE3,270.0,0.0,0.0
low,17,RES_Wind_N1,58.012499999999996,58.012499999999996,0.0
low,17,RES_PV_N6,95.9175,95.9175,0.0
low,17,RES_PV_N8,178.13250000000002,178.13250000000002,0.0
low,18,G_IEEE1,250.0,117.73575000000001,0.0
low,18,G_IEEE2,300.0,300.0,0.0
low,18,G_IEEE3,270.0,0.0,0.0
low,18,RES_Wind_N1,64.70625,64.70625,0.0
low,18,RES_PV_N6,53.713800000000006,53.713800000000006,0.0
low,18,RES_PV_N8,99.75420000000001,99.75420000000001,0.0
low,19,G_IEEE1,250.0,250.0,0.0
low,19,G_IEEE2,300.0,300.0,0.0
low,19,G_IEEE3,270.0,13.483249999999884,0.0
low,19,RES_Wind_N1,69.16875,69.16875,0.0
low,19,RES_PV_N6,15.3468,15.3468,0.0
low,19,RES_PV_N8,28.5012,28.5012,0.0
low,20,G_IEEE1,250.0,250.0,0.0
low,20,G_IEEE2,300.0,300.0,0.0
low,20,G_IEEE3,270.0,40.622749999999996,0.0
low,20,RES_Wind_N1,73.63125,73.63125,0.0
low,20,RES_PV_N6,1.91835,1.91835,0.0
low,20,RES_PV_N8,3.56265,3.56265,0.0
low,21,G_IEEE1,250.0,250.0,0.0
low,21,G_IEEE2,300.0,300.0,0.0
low,21,G_IEEE3,270.0,10.047500000000014,0.0
low,21,RES_Wind_N1,75.8625,75.8625,0.0
low,21,RES_PV_N6,0.0,-0.0,0.0
low,21,RES_PV_N8,0.0,-0.0,0.0
low,22,G_IEEE1,250.0,196.93124999999998,0.0
low,22,G_IEEE2,300.0,300.0,0.0
low,22,G_IEEE3,270.0,0.0,0.0
low,22,RES_Wind_N1,78.09375,78.09375,0.0
low,22,RES_PV_N6,0.0,-0.0,0.0
low,22,RES_PV_N8,0.0,-0.0,0.0
low,23,G_IEEE1,250.0,133.815,0.0
low,23,G_IEEE2,300.0,300.0,0.0
low,23,G_IEEE3,270.0,0.0,0.0
low,23,RES_Wind_N1,80.325,80.325,0.0
low,23,RES_PV_N6,0.0,-0.0,0.0
low,23,RES_PV_N8,0.0,-0.0,0.0
low,24,G_IEEE1,250.0,92.10937500000001,0.0
low,24,G_IEEE2,300.0,300.0,0.0
low,24,G_IEEE3,270.0,0.0,0.0
low,24,RES_Wind_N1,81.440625,81.440625,0.0
low,24,RES_PV_N6,0.0,-0.0,0.0
low,24,RES_PV_N8,0.0,-0.0,0.0
base,1,G_IEEE1,250.0,59.0775,0.0
base,1,G_IEEE2,300.0,300.0,0.0
base,1,G_IEEE3,270.0,0.0,0.0
base,1,RES_Wind_N1,87.41250000000001,87.41250000000001,0.0
base,1,RES_PV_N6,0.0,-0.0,0.0
base,1,RES_PV_N8,0.0,-0.0,0.0
base,2,G_IEEE1,250.0,35.14031249999999,0.0
base,2,G_IEEE2,300.0,300.0,0.0
base,2,G_IEEE3,270.0,0.0,0.0
base,2,RES_Wind_N1,91.0546875,91.0546875,0.0
base,2,RES_PV_N6,0.0,-0.0,0.0
base,2,RES_PV_N8,0.0,-0.0,0.0
base,3,G_IEEE1,250.0,17.968124999999958,0.0
base,3,G_IEEE2,300.0,300.0,0.0
base,3,G_IEEE3,270.0,0.0,0.0
base,3,RES_Wind_N1,94.696875,94.696875,0.0
base,3,RES_PV_N6,0.0,-0.0,0.0
base,3,RES_PV_N8,0.0,-0.0,0.0
base,4,G_IEEE1,250.0,8.774999999999977,0.0
base,4,G_IEEE2,300.0,300.0,0.0
base,4,G_IEEE3,270.0,0.0,0.0
base,4,RES_Wind_N1,97.125,97.125,0.0
base,4,RES_PV_N6,0.0,-0.0,0.0
base,4,RES_PV_N8,0.0,-0.0,0.0
base,5,G_IEEE1,250.0,24.733125,0.0
base,5,G_IEEE2,300.0,300.0,0.0
base,5,G_IEEE3,270.0,0.0,0.0
base,5,RES_Wind_N1,94.696875,94.696875,0.0
base,5,RES_PV_N6,0.0,-0.0,0.0
base,5,RES_PV_N8,0.0,-0.0,0.0
base,6,G_IEEE1,250.0,72.60749999999997,0.0
base,6,G_IEEE2,300.0,300.0,0.0
base,6,G_IEEE3,270.0,0.0,0.0
base,6,RES_Wind_N1,87.41250000000001,87.41250000000001,0.0
base,6,RES_PV_N6,0.0,-0.0,0.0
base,6,RES_PV_N8,0.0,-0.0,0.0
base,7,G_IEEE1,250.0,153.59587499999998,0.0
base,7,G_IEEE2,300.0,300.0,0.0
base,7,G_IEEE3,270.0,0.0,0.0
base,7,RES_Wind_N1,75.27187500000001,75.27187500000001,0.0
base,7,RES_PV_N6,4.3162875,4.3162875,0.0
base,7,RES_PV_N8,8.0159625,8.0159625,0.0
base,8,G_IEEE1,250.0,184.05750000000003,0.0
base,8,G_IEEE2,300.0,300.0,0.0
base,8,G_IEEE3,270.0,0.0,0.0
base,8,RES_Wind_N1,63.13125,63.13125,0.0
base,8,RES_PV_N6,21.5814375,21.5814375,0.0
base,8,RES_PV_N8,40.0798125,40.0798125,0.0
base,9,G_IEEE1,250.0,105.50287499999999,0.0
base,9,G_IEEE2,300.0,300.0,0.0
base,9,G_IEEE3,270.0,0.0,0.0
base,9,RES_Wind_N1,50.990625,50.990625,0.0
base,9,RES_PV_N6,60.428025000000005,60.428025000000005,0.0
base,9,RES_PV_N8,112.22347500000001,112.22347500000001,0.0
base,10,G_IEEE1,250.0,0.0,0.0
base,10,G_IEEE2,300.0,270.3838125,0.0
base,10,G_IEEE3,270.0,0.0,0.0
base,10,RES_Wind_N1,42.4921875,42.4921875,0.0
base,10,RES_PV_N6,103.5909,103.5909,0.0
base,10,RES_PV_N8,192.38309999999998,192.38309999999998,0.0
base,11,G_IEEE1,250.0,0.0,0.0
base,11,G_IEEE2,300.0,139.601625,0.0
base,11,G_IEEE3,270.0,0.0,0.0
base,11,RES_Wind_N1,36.421875,36.421875,0.0
base,11,RES_PV_N6,146.75377500000002,146.75377500000002,0.0
base,11,RES_PV_N8,272.542725,272.542725,0.0
base,12,G_IEEE1,250.0,9.702662957317251,0.0
base,12,G_IEEE2,300.0,50.053587042683,0.0
base,12,G_IEEE3,270.0,0.0,0.0
base,12,RES_Wind_N1,33.99375,33.99375,0.0
base,12,RES_PV_N6,183.44221875000002,147.36159374999977,36.08062500000025
base,12,RES_PV_N8,340.67840625,340.67840625,0.0
base,13,G_IEEE1,250.0,0.0,0.0
base,13,G_IEEE2,300.0,46.078125000000284,0.0
base,13,G_IEEE3,270.0,0.0,0.0
base,13,RES_Wind_N1,36.421875,36.421875,0.0
base,13,RES_PV_N6,205.02365625,146.36177714180155,58.661879108198434
base,13,RES_PV_N8,380.75821875,339.3982228581981,41.35999589180193
base,14,G_IEEE1,250.0,0.0,0.0
base,14,G_IEEE2,300.0,35.59687500000024,0.0
base,14,G_IEEE3,270.0,0.0,0.0
base,14,RES_Wind_N1,41.278125,41.278125,0.0
base,14,RES_PV_N6,211.4980875,153.57754708271747,57.920540417282524
base,14,RES_PV_N8,392.7821625,331.04245291728233,61.739709582717694
base,15,G_IEEE1,250.0,0.0,0.0
base,15,G_IEEE2,300.0,28.312500000000227,0.0
base,15,G_IEEE3,270.0,0.0,0.0
base,15,RES_Wind_N1,48.5625,48.5625,0.0
base,15,RES_PV_N6,194.23293750000002,160.1948153618903,34.03812213810971
base,15,RES_PV_N8,360.7183125,324.42518463810944,36.29312786189058
base,16,G_IEEE1,250.0,0.0,0.0
base,16,G_IEEE2,300.0,75.21712500000001,0.0
base,16,G_IEEE3,270.0,0.0,0.0
base,16,RES_Wind_N1,55.846875000000004,55.846875000000004,0.0
base,16,RES_PV_N6,155.38635,155.38635,0.0
base,16,RES_PV_N8,288.57465,288.57465,0.0
base,17,G_IEEE1,250.0,0.0,0.0
base,17,G_IEEE2,300.0,230.64750000000004,0.0
base,17,G_IEEE3,270.0,0.0,0.0
base,17,RES_Wind_N1,63.13125,63.13125,0.0
base,17,RES_PV_N6,107.90718749999999,107.90718749999999,0.0
base,17,RES_PV_N8,200.3990625,200.3990625,0.0
base,18,G_IEEE1,250.0,92.84287499999996,0.0
base,18,G_IEEE2,300.0,300.0,0.0
base,18,G_IEEE3,270.0,0.0,0.0
base,18,RES_Wind_N1,70.415625,70.415625,0.0
base,18,RES_PV_N6,60.428025000000005,60.428025000000005,0.0
base,18,RES_PV_N8,112.22347500000001,112.22347500000001,0.0
base,19,G_IEEE1,250.0,250.0,0.0
base,19,G_IEEE2,300.0,300.0,0.0
base,19,G_IEEE3,270.0,1.8991250000000264,0.0
base,19,RES_Wind_N1,75.27187500000001,75.27187500000001,0.0
base,19,RES_PV_N6,17.26515,17.26515,0.0
base,19,RES_PV_N8,32.06385,32.06385,0.0
base,20,G_IEEE1,250.0,250.0,0.0
base,20,G_IEEE2,300.0,300.0,0.0
base,20,G_IEEE3,270.0,33.440750000000094,0.0
base,20,RES_Wind_N1,80.128125,80.128125,0.0
base,20,RES_PV_N6,2.15814375,2.15814375,0.0
base,20,RES_PV_N8,4.00798125,4.00798125,0.0
base,21,G_IEEE1,250.0,250.0,0.0
base,21,G_IEEE2,300.0,300.0,0.0
base,21,G_IEEE3,270.0,3.353749999999991,0.0
base,21,RES_Wind_N1,82.55625,82.55625,0.0
base,21,RES_PV_N6,0.0,-0.0,0.0
base,21,RES_PV_N8,0.0,-0.0,0.0
base,22,G_IEEE1,250.0,190.04062499999998,0.0
base,22,G_IEEE2,300.0,300.0,0.0
base,22,G_IEEE3,270.0,0.0,0.0
base,22,RES_Wind_N1,84.984375,84.984375,0.0
base,22,RES_PV_N6,0.0,-0.0,0.0
base,22,RES_PV_N8,0.0,-0.0,0.0
base,23,G_IEEE1,250.0,126.72749999999998,0.0
base,23,G_IEEE2,300.0,300.0,0.0
base,23,G_IEEE3,270.0,0.0,0.0
base,23,RES_Wind_N1,87.41250000000001,87.41250000000001,0.0
base,23,RES_PV_N6,0.0,-0.0,0.0
base,23,RES_PV_N8,0.0,-0.0,0.0
base,24,G_IEEE1,250.0,84.9234375,0.0
base,24,G_IEEE2,300.0,300.0,0.0
base,24,G_IEEE3,270.0,0.0,0.0
base,24,RES_Wind_N1,88.6265625,88.6265625,0.0
base,24,RES_PV_N6,0.0,-0.0,0.0
base,24,RES_PV_N8,0.0,-0.0,0.0
high,1,G_IEEE1,250.0,51.99000000000001,0.0
high,1,G_IEEE2,300.0,300.0,0.0
high,1,G_IEEE3,270.0,0.0,0.0
high,1,RES_Wind_N1,94.5,94.5,0.0
high,1,RES_PV_N6,0.0,-0.0,0.0
high,1,RES_PV_N8,0.0,-0.0,0.0
high,2,G_IEEE1,250.0,27.757499999999993,0.0
high,2,G_IEEE2,300.0,300.0,0.0
high,2,G_IEEE3,270.0,0.0,0.0
high,2,RES_Wind_N1,98.4375,98.4375,0.0
high,2,RES_PV_N6,0.0,-0.0,0.0
high,2,RES_PV_N8,0.0,-0.0,0.0
high,3,G_IEEE1,250.0,10.289999999999964,0.0
high,3,G_IEEE2,300.0,300.0,0.0
high,3,G_IEEE3,270.0,0.0,0.0
high,3,RES_Wind_N1,102.375,102.375,0.0
high,3,RES_PV_N6,0.0,-0.0,0.0
high,3,RES_PV_N8,0.0,-0.0,0.0
high,4,G_IEEE1,250.0,0.8999999999999773,0.0
high,4,G_IEEE2,300.0,300.0,0.0
high,4,G_IEEE3,270.0,0.0,0.0
high,4,RES_Wind_N1,105.0,105.0,0.0
high,4,RES_PV_N6,0.0,-0.0,0.0
high,4,RES_PV_N8,0.0,-0.0,0.0
high,5,G_IEEE1,250.0,17.055000000000007,0.0
high,5,G_IEEE2,300.0,300.0,0.0
high,5,G_IEEE3,270.0,0.0,0.0
high,5,RES_Wind_N1,102.375,102.375,0.0
high,5,RES_PV_N6,0.0,-0.0,0.0
high,5,RES_PV_N8,0.0,-0.0,0.0
high,6,G_IEEE1,250.0,65.51999999999998,0.0
high,6,G_IEEE2,300.0,300.0,0.0
high,6,G_IEEE3,270.0,0.0,0.0
high,6,RES_Wind_N1,94.5,94.5,0.0
high,6,RES_PV_N6,0.0,-0.0,0.0
high,6,RES_PV_N8,0.0,-0.0,0.0
high,7,G_IEEE1,250.0,146.12249999999995,0.0
high,7,G_IEEE2,300.0,300.0,0.0
high,7,G_IEEE3,270.0,0.0,0.0
high,7,RES_Wind_N1,81.375,81.375,0.0
high,7,RES_PV_N6,4.795875,4.795875,0.0
high,7,RES_PV_N8,8.906625,8.906625,0.0
high,8,G_IEEE1,250.0,172.08749999999998,0.0
high,8,G_IEEE2,300.0,300.0,0.0
high,8,G_IEEE3,270.0,0.0,0.0
high,8,RES_Wind_N1,68.25,68.25,0.0
high,8,RES_PV_N6,23.979375,23.979375,0.0
high,8,RES_PV_N8,44.533125,44.533125,0.0
high,9,G_IEEE1,250.0,82.185,0.0
high,9,G_IEEE2,300.0,300.0,0.0
high,9,G_IEEE3,270.0,0.0,0.0
high,9,RES_Wind_N1,55.125,55.125,0.0
high,9,RES_PV_N6,67.14225,67.14225,0.0
high,9,RES_PV_N8,124.69275,124.69275,0.0
high,10,G_IEEE1,250.0,0.0,0.0
high,10,G_IEEE2,300.0,234.0525,0.0
high,10,G_IEEE3,270.0,0.0,0.0
high,10,RES_Wind_N1,45.9375,45.9375,0.0
high,10,RES_PV_N6,115.101,115.101,0.0
high,10,RES_PV_N8,213.759,213.759,0.0
high,11,G_IEEE1,250.0,20.62436707317123,0.0
high,11,G_IEEE2,300.0,69.43563292682883,0.0
high,11,G_IEEE3,270.0,0.0,0.0
high,11,RES_Wind_N1,39.375,39.375,0.0
high,11,RES_PV_N6,163.05975,163.05975,0.0
high,11,RES_PV_N8,302.82525,302.82525,0.0
high,12,G_IEEE1,250.0,0.0,0.0
high,12,G_IEEE2,300.0,57.000000000000256,0.0
high,12,G_IEEE3,270.0,0.0,0.0
high,12,RES_Wind_N1,36.75,36.75,0.0
high,12,RES_PV_N6,203.8246875,141.0513367799109,62.7733507200891
high,12,RES_PV_N8,378.5315625,346.9886632200889,31.542899279911126
high,13,G_IEEE1,250.0,0.0,0.0
high,13,G_IEEE2,300.0,43.125000000000256,0.0
high,13,G_IEEE3,270.0,0.0,0.0
high,13,RES_Wind_N1,39.375,39.375,0.0
high,13,RES_PV_N6,227.8040625,149.04445347119596,78.75960902880402
high,13,RES_PV_N8,423.0646875,336.71554652880377,86.34914097119622
high,14,G_IEEE1,250.0,0.0,0.0
high,14,G_IEEE2,300.0,32.25000000000023,0.0
high,14,G_IEEE3,270.0,0.0,0.0
high,14,RES_Wind_N1,44.625,44.625,0.0
high,14,RES_PV_N6,234.997875,156.61791358936443,78.37996141063556
high,14,RES_PV_N8,436.424625,328.00208641063534,108.42253858936465
high,15,G_IEEE1,250.0,0.0,0.0
high,15,G_IEEE2,300.0,24.375000000000227,0.0
high,15,G_IEEE3,270.0,0.0,0.0
high,15,RES_Wind_N1,52.5,52.5,0.0
high,15,RES_PV_N6,215.814375,163.77171713441612,52.04265786558389
high,15,RES_PV_N8,400.798125,320.84828286558366,79.94984213441637
high,16,G_IEEE1,250.0,1.0397121951220925,0.0
high,16,G_IEEE2,300.0,26.710287804878135,0.0
high,16,G_IEEE3,270.0,0.0,0.0
high,16,RES_Wind_N1,60.375,60.375,0.0
high,16,RES_PV_N6,172.6515,166.26149999999973,6.390000000000271
high,16,RES_PV_N8,320.6385,320.6385,0.0
high,17,G_IEEE1,250.0,0.0,0.0
high,17,G_IEEE2,300.0,191.27250000000004,0.0
high,17,G_IEEE3,270.0,0.0,0.0
high,17,RES_Wind_N1,68.25,68.25,0.0
high,17,RES_PV_N6,119.896875,119.896875,0.0
high,17,RES_PV_N8,222.665625,222.665625,0.0
high,18,G_IEEE1,250.0,67.94999999999999,0.0
high,18,G_IEEE2,300.0,300.0,0.0
high,18,G_IEEE3,270.0,0.0,0.0
high,18,RES_Wind_N1,76.125,76.125,0.0
high,18,RES_PV_N6,67.14225,67.14225,0.0
high,18,RES_PV_N8,124.69275,124.69275,0.0
high,19,G_IEEE1,250.0,240.31500000000005,0.0
high,19,G_IEEE2,300.0,300.0,0.0
high,19,G_IEEE3,270.0,0.0,0.0
high,19,RES_Wind_N1,81.375,81.375,0.0
high,19,RES_PV_N6,19.1835,19.1835,0.0
high,19,RES_PV_N8,35.6265,35.6265,0.0
high,20,G_IEEE1,250.0,250.0,0.0
high,20,G_IEEE2,300.0,300.0,0.0
high,20,G_IEEE3,270.0,26.258750000000077,0.0
high,20,RES_Wind_N1,86.625,86.625,0.0
high,20,RES_PV_N6,2.3979375,2.3979375,0.0
high,20,RES_PV_N8,4.4533125,4.4533125,0.0
high,21,G_IEEE1,250.0,246.65999999999997,0.0
high,21,G_IEEE2,300.0,300.0,0.0
high,21,G_IEEE3,270.0,0.0,0.0
high,21,RES_Wind_N1,89.25,89.25,0.0
high,21,RES_PV_N6,0.0,-0.0,0.0
high,21,RES_PV_N8,0.0,-0.0,0.0
high,22,G_IEEE1,250.0,183.14999999999998,0.0
high,22,G_IEEE2,300.0,300.0,0.0
high,22,G_IEEE3,270.0,0.0,0.0
high,22,RES_Wind_N1,91.875,91.875,0.0
high,22,RES_PV_N6,0.0,-0.0,0.0
high,22,RES_PV_N8,0.0,-0.0,0.0
high,23,G_IEEE1,250.0,119.63999999999999,0.0
high,23,G_IEEE2,300.0,300.0,0.0
high,23,G_IEEE3,270.0,0.0,0.0
high,23,RES_Wind_N1,94.5,94.5,0.0
high,23,RES_PV_N6,0.0,-0.0,0.0
high,23,RES_PV_N8,0.0,-0.0,0.0
high,24,G_IEEE1,250.0,77.73750000000001,0.0
high,24,G_IEEE2,300.0,300.0,0.0
high,24,G_IEEE3,270.0,0.0,0.0
high,24,RES_Wind_N1,95.8125,95.8125,0.0
high,24,RES_PV_N6,0.0,-0.0,0.0
high,24,RES_PV_N8,0.0,-0.0,0.0
