hour,node,lambda_offer_reclear_eur_per_mwh
14,N5,74.03114666294532
14,N6,44.70158371734842
14,N7,100.60778972145869
14,N8,1.6412094510107663e-07
14,N9,16.639289768160076
15,N1,59.99999975762858
15,N2,95.83839131202299
15,N3,21.83065547046565
15,N4,59.99999976773071
15,N5,72.38318388415465
15,N6,46.597023596640675
15,N7,95.83839131202299
15,N8,7.145655990318097
15,N9,21.830655468096833
16,N1,59.99999989329213
16,N2,95.83838420906133
16,N3,21.83066361530762
16,N4,59.99999990841732
16,N5,72.38318152622817
16,N6,46.59702674257961
16,N7,95.83838420906133
16,N8,7.1456671184935505
16,N9,21.830663615166525
17,N1,60.00000006794463
17,N2,60.000000251649936
17,N3,60.00000005207238
17,N4,60.00000011887493
17,N5,60.000000260619636
17,N6,60.000000069054146
17,N7,60.000000251649936
17,N8,60.000000040734044
17,N9,60.00000005207238
18,N1,67.14999962036642
18,N2,67.15000016034396
18,N3,67.14999988780569
18,N4,67.14999977692301
18,N5,67.15000026921433
18,N6,67.14999981066234
18,N7,67.15000016034396
18,N8,67.14999998048025
18,N9,67.14999989589144
19,N1,62.51012583875169
19,N2,70.21019230320503
19,N3,67.15000008214258
19,N4,62.510126013612215
19,N5,73.06141271520772
19,N6,64.13939478434243
19,N7,70.21019230320503
19,N8,68.93511215994708
19,N9,67.15000011904718
20,N1,60.00000145133884
20,N2,427.31763332901755
20,N3,281.33675229907385
20,N4,60.000001622904435
20,N5,563.3299115323571
20,N6,137.72130341738193
20,N7,427.31763332901755
20,N8,366.4922665031736
20,N9,281.3367523685429
21,N1,67.14999982787575
21,N2,67.15000057031521
21,N3,67.15000010525134
21,N4,67.15000003899199
21,N5,67.1500006878286
21,N6,67.15000008266018
21,N7,67.15000057031521
21,N8,67.1500003971886
21,N9,67.15000014496778
22,N1,67.14999982425569
22,N2,67.15000026131024
22,N3,67.15000002865915
22,N4,67.15000005077347
22,N5,67.15000029322444
22,N6,67.15000005940256
22,N7,67.15000026131024
22,N8,67.15000017834228
22,N9,67.15000005442428
23,N1,67.14999974001827
23,N2,67.1500001140041
23,N3,67.14999997762976
23,N4,67.14999998420889
23,N5,67.15000012901079
23,N6,67.14999999690414
23,N7,67.1500001140041
23,N8,67.15000006507653
23,N9,67.14999999314992
24,N1,67.14999966850615
24,N2,67.15000002679803
24,N3,67.14999993197343
24,N4,67.14999992254845
24,N5,67.15000003539873
24,N6,67.14999994101224
24,N7,67.15000002679803
24,N8,67.14999999272884
24,N9,67.14999994207471
