hour,node,lambda_strategic_offer_eur_per_mwh,lambda_full_availability_eur_per_mwh,strategic_minus_full_availability_eur_per_mwh
5,N7,67.1500005619488,67.14999977657509,7.853737145069317e-07
5,N8,67.1500005555562,67.14999975951885,7.96037355144108e-07
5,N9,67.15000054448664,67.14999972855014,8.159365023630016e-07
6,N1,67.15000052796847,67.14999965728339,8.70685084919387e-07
6,N2,67.15000065411951,67.14999999953432,6.545851931605284e-07
6,N3,67.15000062414393,67.149999914465,7.096789289562366e-07
6,N4,67.15000061849504,67.149999901474,7.170210380991193e-07
6,N5,67.15000065667047,67.15000000602939,6.506410841211618e-07
6,N6,67.1500006260872,67.14999992130004,7.047871690701868e-07
6,N7,67.15000065411951,67.14999999953432,6.545851931605284e-07
6,N8,67.15000064277244,67.14999996962332,6.731491168920911e-07
6,N9,67.15000062709146,67.14999992328829,7.038031668571421e-07
7,N1,67.15000060300393,67.14999984758634,7.554175880386538e-07
7,N2,67.15000071969634,67.15000016478298,5.549133561544295e-07
7,N3,67.15000065932462,67.1499999977797,6.615449166247345e-07
7,N4,67.1500006678284,67.15000002244687,6.453815188933731e-07
7,N5,67.15000072663483,67.15000018314056,5.434942664805931e-07
7,N6,67.15000066976593,67.15000002725542,6.425105141261156e-07
7,N7,67.15000071969634,67.15000016478298,5.549133561544295e-07
7,N8,67.1500006953399,67.15000009979998,5.955399160484376e-07
7,N9,67.15000066617806,67.15000001699897,6.491790855989166e-07
8,N1,67.15000062529656,67.14999989694928,7.283472740482466e-07
8,N2,67.15000075936365,67.15000025240728,5.069563684401146e-07
8,N3,67.1500006670254,67.15000000975502,6.5727037679153e-07
8,N4,67.15000067530943,67.15000003185634,6.434530916976655e-07
8,N5,67.150000775575,67.15000029525547,4.803195281510853e-07
8,N6,67.15000067547804,67.15000003212623,6.433518109361103e-07
8,N7,67.15000075936365,67.15000025240728,5.069563684401146e-07
8,N8,67.15000071158033,67.15000012203225,5.895480796880292e-07
8,N9,67.1500006755269,67.15000003165152,6.438753814563825e-07
9,N1,67.15000058961236,67.14999976654697,8.230653918417374e-07
9,N2,67.15000072019343,67.15000010546403,6.147294016045635e-07
9,N3,67.15000063314832,67.1499998780791,7.550692231461653e-07
9,N4,67.15000062997552,67.14999987542443,7.54551095383249e-07
9,N5,67.15000074015614,67.15000015337533,5.867808141601927e-07
9,N6,67.15000062875089,67.14999986961931,7.591315807076171e-07
9,N7,67.15000072019343,67.15000010546403,6.147294016045635e-07
9,N8,67.15000065549162,67.14999992547523,7.30016395777966e-07
9,N9,67.15000063680392,67.14999988568516,7.51118761854741e-07
10,N1,60.00000066935392,60.00000021405317,4.553007499907835e-07
10,N2,60.00000074680942,60.00000042298538,3.2382403958308714e-07
10,N3,60.00000067815397,60.00000023779086,4.4036310953288194e-07
10,N4,60.00000069248027,60.000000276435294,4.1604497624803116e-07
10,N5,60.00000075419825,60.00000044291632,3.112819300099545e-07
10,N6,60.000000679040774,60.00000024018295,4.3885782474717416e-07
10,N7,60.00000074680942,60.00000042298538,3.2382403958308714e-07
10,N8,60.00000067746148,60.000000235922904,4.415385745915046e-07
10,N9,60.00000067815397,60.00000023779086,4.4036310953288194e-07
11,N1,60.000000581130806,59.99999997522813,6.059026773641563e-07
11,N2,100.68357051880528,100.6835594992883,1.1019516989563272e-05
11,N3,16.670344771228724,16.670355214692734,-1.0443464010023717e-05
11,N4,60.000000588556176,59.999999995121144,5.934350326697313e-07
11,N5,74.05733168373087,74.0573275246472,4.1590836588056845e-06
11,N6,44.785006911826535,44.78501014008833,-3.228261796550669e-06
11,N7,100.68357051880528,100.68355949928831,1.1019516975352417e-05
11,N8,3.922219112336872e-06,1.863977773196015e-05,-1.471755861962328e-05
11,N9,16.67034477109706,16.67035521450841,-1.044341135170157e-05
12,N1,60.00000055785405,59.99999991411998,6.437340687170945e-07
12,N2,100.68357302123445,100.68356681889708,6.2023373743613774e-06
12,N3,16.670341955827848,16.670347028103745,-5.072275897077816e-06
12,N4,60.000000562639215,59.99999992708265,6.355565673743513e-07
12,N5,74.05733252934431,74.05733000362657,2.5257177327375757e-06
12,N6,44.78500584453349,44.78500706035456,-1.215821072264589e-06
12,N7,100.68357302123445,100.68356681889708,6.2023373743613774e-06
12,N8,7.112322616760467e-08,7.425174343169121e-06,-7.354051117001516e-06
12,N9,16.67034195572066,16.670347027748953,-5.0720282942506856e-06
13,N1,60.000000526650254,59.99999985031348,6.763367750295401e-07
13,N2,100.68357285719601,100.68357118492787,1.6722681408509743e-06
13,N3,16.670341879339897,16.670342027402164,-1.4806226644736853e-07
13,N4,60.00000053027877,59.999999860700704,6.695780641052806e-07
13,N5,74.05733244975724,74.05733146410786,9.856493790039167e-07
13,N6,44.78500567595358,44.7850051170954,5.588581757365318e-07
13,N7,100.68357285719601,100.68357118492787,1.6722681408509743e-06
13,N8,4.2976230329156104e-08,5.861607452390368e-07,-5.431845149098808e-07
13,N9,16.67034187855949,16.6703420244926,-1.4593311092880867e-07
14,N1,60.000000452134024,59.99999974332282,7.08811207061899e-07
14,N2,60.00000120286301,100.68357088632739,-40.68356968346438
14,N3,3.349564154430419e-07,16.67034168520991,-16.670341350253494
14,N4,60.00000045503231,59.99999975221603,7.028162798405901e-07
14,N5,60.00000073057186,74.0573312878864,-14.057330557314536
14,N6,8.474744708289604e-07,44.78500464467357,-44.7850037971991
14,N7,60.000001202863,100.68357088632739,-40.68356968346439
14,N8,2.6412368700142598e-08,3.1903850495902203e-07,-2.9262613625887943e-07
14,N9,3.345951248641906e-07,16.67034168208971,-16.670341347494585
15,N1,60.000000477097146,59.99999973673618,7.403609671996492e-07
15,N2,100.68357280714653,100.68357011950197,2.68764456734516e-06
15,N3,16.67034188894612,16.670342966083684,-1.0771375649198944e-06
15,N4,60.00000048056454,59.99999974655163,7.340129073440949e-07
15,N5,74.05733239916856,74.0573310192192,1.3799493530086693e-06
15,N6,44.785005688076154,44.785005406303334,2.8177282018759797e-07
15,N7,100.68357280714653,100.68357011950197,2.68764456734516e-06
15,N8,5.430424171338412e-08,1.920812855057347e-06,-1.866508613343963e-06
15,N9,16.670341888543188,16.670342964256882,-1.07571369412085e-06
16,N1,60.00000055320918,59.99999989361789,6.595912935836168e-07
16,N2,100.68357267088652,100.68355971628795,1.2954598574310694e-05
16,N3,16.670342399507227,16.670354743164108,-1.2343656880631215e-05
16,N4,60.00000055897898,59.999999908761346,6.502176361777856e-07
16,N5,74.05733240499114,74.05732753504789,4.86994325399337e-06
16,N6,44.78500605068622,44.78500988730086,-3.836614638430547e-06
16,N7,100.68357267088652,100.68355971628795,1.2954598574310694e-05
16,N8,6.534556884000392e-07,1.803846841571807e-05,-1.738501272731803e-05
16,N9,16.67034239929754,16.670354742995595,-1.2343698056582753e-05
17,N1,60.00000061518848,60.00000006794464,5.472438431297633e-07
17,N2,60.00000068329186,60.00000025164994,4.316419150995898e-07
17,N3,60.0000006093043,60.00000005207239,5.572319139446336e-07
17,N4,60.0000006340694,60.00000011887494,5.151944648673634e-07
17,N5,60.00000068661711,60.00000026061964,4.2599747018812195e-07
17,N6,60.000000615599795,60.00000006905415,5.465456425213233e-07
17,N7,60.00000068329186,60.00000025164994,4.316419150995898e-07
17,N8,60.00000060510096,60.000000040734044,5.643669140908969e-07
17,N9,60.0000006093043,60.00000005207239,5.572319139446336e-07
18,N1,67.1500005304795,67.14999961219876,9.182807474417132e-07
18,N2,67.15000075809348,67.15000013330281,6.247906725320718e-07
18,N3,67.15000064395046,67.1499998695282,7.744222614292084e-07
18,N4,67.15000058851832,67.14999976875535,8.197629739470358e-07
18,N5,67.1500008085486,67.15000023504773,5.735008699048194e-07
18,N6,67.15000060635668,67.14999979880594,8.075507480498345e-07
18,N7,67.15000075809348,67.15000013330281,6.247906725320718e-07
18,N8,67.15000068995835,67.14999995371652,7.362418301681828e-07
18,N9,67.15000064830046,67.14999987678338,7.715170795563608e-07
19,N1,60.000001166690126,67.14999894219292,-7.149997775502797
19,N2,71.86572580405029,67.15000110638451,4.715724697665777
19,N3,67.15000073141746,67.15000005367213,6.777453336326289e-07
19,N4,60.00000122418784,67.14999911705345,-7.149997892865613
19,N5,76.2594278277704,67.15000176407177,9.10942606369862
19,N6,62.5106880803128,67.14999945804661,-4.639311377733804
19,N7,71.86572580405029,67.15000110638451,4.715724697665777
19,N8,69.90084035007482,67.1500005834991,2.750839766575723
19,N9,67.15000074875869,67.15000008493838,6.638203018383138e-07
20,N1,60.00000174988675,67.14999917766715,-7.149997427780406
20,N2,85.54212905909331,67.15000111322767,18.39212794586564
20,N3,75.39107170425598,67.15000012705696,8.241071577199023
20,N4,60.00000181828551,67.14999937524074,-7.149997556955228
20,N5,95.00000029012354,67.15000166657595,27.84999862354759
20,N6,65.40449965208481,67.14999966016347,-1.7455000080786647
20,N7,85.54212905909331,67.15000111322767,18.39212794586564
20,N8,81.31252199190902,67.15000067117195,14.16252132073707
20,N9,75.39107173000973,67.15000016942027,8.24107156058946
21,N1,67.15000081505687,67.14999984314927,9.71907596181154e-07
21,N2,67.15000134787245,67.15000063725837,7.106140742507705e-07
21,N3,67.15000087372998,67.1500001286494,7.450805838971064e-07
21,N4,67.15000089332209,67.15000005426552,8.390565682248052e-07
21,N5,67.1500013701765,67.15000076198741,6.081890830955672e-07
21,N6,67.15000089650296,67.15000010165633,7.948466276275212e-07
21,N7,67.15000134787245,67.15000063725837,7.106140742507705e-07
21,N8,67.15000129846558,67.1500004636042,8.348613818043304e-07
21,N9,67.15000089586673,67.15000017100024,7.248664815051598e-07
22,N1,67.15000062240384,67.14999984319033,7.792135079398577e-07
22,N2,67.15000080306385,67.15000029559704,5.074668081306299e-07
22,N3,67.15000068845524,67.15000004092398,6.475312517295606e-07
22,N4,67.15000070637872,67.15000006970811,6.366706060134675e-07
22,N5,67.15000081142975,67.15000032566022,4.857695330429124e-07
22,N6,67.15000070702091,67.15000007669305,6.303278610175767e-07
22,N7,67.15000080306385,67.15000029559702,5.074668223414847e-07
22,N8,67.15000077565368,67.15000021534044,5.603132393616761e-07
22,N9,67.15000070089108,67.15000006913304,6.317580414361146e-07
23,N1,67.15000057856176,67.14999975165067,8.269110907122013e-07
23,N2,67.15000072242819,67.15000013027803,5.921501582406563e-07
23,N3,67.1500006624462,67.14999998574983,6.76696373602681e-07
23,N4,67.15000066908834,67.1499999958413,6.732470438919336e-07
23,N5,67.15000072687687,67.15000014444523,5.82431638918024e-07
23,N6,67.15000067268295,67.15000000758445,6.650984971656726e-07
23,N7,67.15000072242819,67.15000013027803,5.921501582406563e-07
23,N8,67.1500007056529,67.15000008259618,6.230567208831417e-07
23,N9,67.15000066971241,67.15000000254766,6.67164755441263e-07
24,N1,67.15000055329423,67.14999968116744,8.72126790341099e-07
24,N2,67.1500006888992,67.15000004178293,6.471162663501673e-07
24,N3,67.15000064807349,67.14999994231455,7.057589357373217e-07
24,N4,67.15000064747302,67.14999993520975,7.122632723621791e-07
24,N5,67.1500006914703,67.1500000499219,6.415483966293323e-07
24,N6,67.1500006535147,67.14999995299925,7.005154429862159e-07
24,N7,67.1500006888992,67.15000004178293,6.471162663501673e-07
24,N8,67.1500006771391,67.15000000846389,6.686752129780871e-07
24,N9,67.15000065291875,67.14999995326829,6.99650456681411e-07
