hour,node,lambda_offer_reclear_eur_per_mwh
10,N3,60.000000237790864
10,N4,60.000000276435294
10,N5,60.000000442916324
10,N6,60.00000024018295
10,N7,60.00000042298539
10,N8,60.000000235922904
10,N9,60.000000237790864
11,N1,59.99999997459327
11,N2,94.14901990310446
11,N3,23.62990551262599
11,N4,59.99999999438501
11,N5,71.79945815150027
11,N6,47.22882169359798
11,N7,94.14901990310446
11,N8,9.637136382552445
11,N9,23.629905512559752
12,N1,59.99999991748451
12,N2,94.14906005424335
12,N3,23.62986239903156
12,N4,59.99999993067586
12,N5,71.79947197754097
12,N6,47.228806370832665
12,N7,94.14906005424335
12,N8,9.637076786574085
12,N9,23.629862398342347
13,N1,59.99999987120537
13,N2,99.79927972469615
13,N3,17.612148599867716
13,N4,59.999999882326705
13,N5,73.75178361598627
13,N6,45.11571594642921
13,N7,99.79927972469616
13,N8,1.3041509751035165
13,N9,17.612148595842328
14,N1,59.999999628113684
14,N2,100.53188709288652
14,N3,16.60818820483135
14,N4,59.999999635931644
14,N5,74.00492014494225
14,N6,44.6180291164653
14,N7,100.53188709288654
14,N8,1.6412052317265412e-07
14,N9,16.608188203281554
15,N1,59.99999975995821
15,N2,94.1490617020038
15,N3,23.629860189235682
15,N4,59.999999770095016
15,N5,71.79947243508563
15,N6,47.22880541262154
15,N7,94.1490617020038
15,N8,9.637073818362897
15,N9,23.629860187066377
16,N1,59.999999892367626
16,N2,94.1490238758989
16,N3,23.629901039322647
16,N4,59.99999990744142
16,N5,71.79945945925286
16,N6,47.22882003483109
16,N7,94.1490238758989
16,N8,9.637130240106023
16,N9,23.629901039249788
17,N1,60.00000006794464
17,N2,60.00000025164996
17,N3,60.00000005207239
17,N4,60.00000011887494
17,N5,60.00000026061965
17,N6,60.00000006905415
17,N7,60.00000025164995
17,N8,60.000000040734044
17,N9,60.00000005207239
18,N1,67.1499996460089
18,N2,67.15000025898469
18,N3,67.1499999515817
18,N4,67.1499998025655
18,N5,67.1500003947215
18,N6,67.14999985048925
18,N7,67.15000025898469
18,N8,67.15000007526884
18,N9,67.14999996325633
19,N1,62.49483750963853
19,N2,70.22027564365588
19,N3,67.15000010758666
19,N4,62.49483768449905
19,N5,73.08089080910798
19,N6,64.1294748857718
19,N7,70.22027564365588
19,N8,68.94099411997335
19,N9,67.15000014647903
20,N1,60.00000145133879
20,N2,81.6805426785722
20,N3,73.06417237631601
20,N4,60.00000162290434
20,N5,89.70852558586265
20,N6,64.58742039106734
20,N7,81.6805426785722
20,N8,78.09038865592488
20,N9,73.0641724457854
21,N1,67.15000036851404
21,N2,67.15000179111064
21,N3,67.15000053495264
21,N4,67.15000057963029
21,N5,67.15000185607393
21,N6,67.15000059096852
21,N7,67.15000179111064
21,N8,67.15000165560741
21,N9,67.15000059434395
22,N1,67.14999989227275
22,N2,67.15000037879678
22,N3,67.15000007100089
22,N4,67.15000011879053
22,N5,67.1500004015812
22,N6,67.15000012066506
22,N7,67.15000037879678
22,N8,67.15000030470915
22,N9,67.1500001043798
23,N1,67.14999977515853
23,N2,67.15000016299346
23,N3,67.1500000016678
23,N4,67.15000001934915
23,N5,67.15000017505507
23,N6,67.1500000290987
23,N7,67.15000016299346
23,N8,67.15000011768309
23,N9,67.15000002116638
24,N1,67.14999970690177
24,N2,67.15000007256498
24,N3,67.14999996272392
24,N4,67.14999996094407
24,N5,67.15000007953209
24,N6,67.14999997727699
24,N7,67.15000007256498
24,N8,67.15000004080552
24,N9,67.1499999757162
